Index,Article_Sentiment,Num_Sentences
3500,0.068603515625,2
3503,0.048583984375,2
3510,0.24625651041666666,3
3513,0.2222900390625,2
3514,0.6424560546875,4
3515,0.1104736328125,4
3519,-0.2940266927083333,6
3533,-0.2301025390625,4
3541,0.291015625,3
3548,0.0,5
3554,0.0,2
3561,0.8714192708333334,3
3562,0.7701822916666666,3
3563,-0.2513834635416667,6
3578,0.1473388671875,4
3581,-0.4033203125,5
3588,-0.2174072265625,4
3593,0.6248372395833334,3
3595,0.9290364583333334,3
3599,-0.8126627604166666,3
3604,-0.161865234375,6
3612,0.0743408203125,6
3614,0.2166748046875,4
3616,-0.232177734375,2
3620,-0.1900390625,5
3627,0.25732421875,3
3628,-0.52294921875,3
3638,0.0552978515625,4
3640,-0.2430419921875,4
3644,0.37451171875,2
3648,0.019368489583333332,3
3649,0.019368489583333332,3
3652,-0.005208333333333333,3
3658,-0.19423828125,5
3665,-0.9677734375,3
3670,-0.9578450520833334,3
3671,-0.9578450520833334,3
3672,-0.39404296875,3
3673,-0.2109375,7
3674,0.28271484375,3
3677,-0.16194661458333334,6
3684,-0.63427734375,3
3685,0.3056640625,3
3690,-0.5212890625,5
3691,-0.00830078125,3
3692,-0.009602864583333334,3
3693,-0.008463541666666666,3
3694,-0.970458984375,2
3706,-0.6393229166666666,3
3709,0.110107421875,2
3719,-0.2281494140625,4
3720,-0.33111572265625,4
3722,-0.34130859375,3
3723,-0.9345703125,3
3725,0.17646484375,5
3728,-0.54931640625,5
3730,0.021240234375,4
3736,0.4764404296875,4
3739,-0.2459716796875,4
3749,-0.4737955729166667,3
3751,0.62744140625,3
3760,-0.336328125,5
3761,0.12711588541666666,6
3765,-0.96826171875,2
3766,-0.6484375,3
3770,-0.025227864583333332,3
3772,0.18779296875,5
3779,0.1728515625,5
3781,0.66259765625,4
3787,0.4267578125,3
3792,0.43701171875,4
3793,-0.283935546875,2
3797,0.21858723958333334,3
3798,0.6266276041666666,3
3818,0.15250651041666666,3
3819,0.15250651041666666,3
3823,0.90625,3
3824,0.2545572916666667,3
3825,0.62939453125,3
3827,0.6290690104166666,3
3829,0.8181966145833334,3
3830,0.7120361328125,4
3835,0.1875,7
3837,-0.1943359375,5
3842,0.0,2
3845,0.46240234375,3
3852,0.691650390625,2
3858,-0.179296875,5
3867,-0.719970703125,2
3868,-0.760986328125,2
3869,0.2398681640625,2
3873,0.771484375,2
3874,0.72119140625,2
3884,-0.424560546875,2
3886,0.0,3
3892,0.18642578125,5
3894,0.179296875,5
3899,-0.002685546875,6
3902,0.456298828125,2
3907,0.4110107421875,4
3911,0.6350911458333334,3
3914,-0.0068359375,2
3920,0.77099609375,1
3922,-0.005126953125,4
3932,0.74169921875,2
3933,0.74169921875,2
3941,-0.240478515625,4
3949,0.3934326171875,4
3951,0.33125,5
3956,0.36181640625,3
3960,-0.3229166666666667,3
3966,-0.66494140625,5
3969,0.591943359375,5
3971,0.1845703125,4
3977,0.18408203125,4
3979,0.05890764508928571,7
3981,0.15673828125,6
3982,-0.241943359375,4
3983,0.1337890625,2
3984,0.5192057291666666,3
3985,0.010091145833333334,3
3987,0.15681966145833334,6
3990,0.1654052734375,4
3991,0.840576171875,2
3992,0.08235677083333333,3
3993,0.9210611979166666,3
3994,0.9226888020833334,3
3995,0.7021484375,4
3996,-0.2861328125,2
3997,0.08219401041666667,3
4003,0.2877604166666667,6
4005,-0.84423828125,2
4008,0.40869140625,2
4010,0.15673828125,6
4011,0.5550130208333334,3
4012,-0.7513020833333334,3
4013,0.720947265625,2
4014,0.6771240234375,2
4018,0.11954752604166667,6
4021,0.15665690104166666,6
4024,-0.0216796875,5
4026,-0.249755859375,4
4027,-0.486328125,2
4028,-0.13874162946428573,7
4029,-0.9534505208333334,3
4031,-0.9534505208333334,3
4032,0.801025390625,2
4033,0.451171875,2
4034,0.32607421875,5
4038,0.29248046875,5
4040,0.13427734375,7
4042,0.13385881696428573,7
4045,0.13385881696428573,7
4046,0.3138020833333333,3
4047,0.6087239583333334,3
4048,0.6062825520833334,3
4049,0.13392857142857142,7
4052,-0.16202799479166666,6
4054,-0.455078125,4
4055,-0.25634765625,6
4056,0.578125,5
4059,-0.974365234375,2
4060,-0.6486002604166666,3
4061,-0.2301025390625,4
4063,0.6056315104166666,3
4064,-0.13881138392857142,7
4070,0.1790771484375,4
4072,0.7025146484375,4
4073,0.4822591145833333,3
4074,0.3404134114583333,3
4078,-0.02783203125,5
4079,0.07845052083333333,3
4080,0.2335205078125,4
4081,0.15681966145833334,6
4083,0.2858072916666667,3
4088,0.199462890625,4
4089,0.5887044270833334,3
4090,0.430908203125,4
4092,0.8800455729166666,3
4097,0.4537760416666667,3
4098,0.6018880208333334,3
4102,0.65771484375,4
4104,0.8582356770833334,3
4107,0.15673828125,6
4108,0.8361002604166666,3
4112,0.906982421875,2
4113,-0.13881138392857142,7
4114,0.40869140625,2
4115,0.697509765625,4
4117,0.00341796875,4
4118,0.00390625,4
4119,0.47265625,4
4120,0.13357979910714285,7
4125,-0.7294921875,4
